"Country.Region","date","Confirmed","Deaths","Recovered"
"China","01-22-2020",547,17,28
"Hong Kong","01-22-2020",0,0,0
"Japan","01-22-2020",2,0,0
"Macau","01-22-2020",1,0,0
"South Korea","01-22-2020",1,0,0
"Taiwan","01-22-2020",1,0,0
"Thailand","01-22-2020",2,0,0
"US","01-22-2020",1,0,0
"Australia","01-23-2020",0,0,0
"Brazil","01-23-2020",0,0,0
"China","01-23-2020",639,18,30
"Colombia","01-23-2020",0,0,0
"Hong Kong","01-23-2020",2,0,0
"Japan","01-23-2020",1,0,0
"Macau","01-23-2020",2,0,0
"Malaysia","01-23-2020",0,0,0
"Mexico","01-23-2020",0,0,0
"Philippines","01-23-2020",0,0,0
"Singapore","01-23-2020",1,0,0
"South Korea","01-23-2020",1,0,0
"Taiwan","01-23-2020",1,0,0
"Thailand","01-23-2020",3,0,0
"US","01-23-2020",1,0,0
"Vietnam","01-23-2020",2,0,0
"China","01-24-2020",916,26,36
"France","01-24-2020",2,0,0
"Hong Kong","01-24-2020",2,0,0
"Japan","01-24-2020",2,0,0
"Macau","01-24-2020",2,0,0
"Singapore","01-24-2020",3,0,0
"South Korea","01-24-2020",2,0,0
"Taiwan","01-24-2020",3,0,0
"Thailand","01-24-2020",5,0,0
"US","01-24-2020",2,0,0
"Vietnam","01-24-2020",2,0,0
"Australia","01-25-2020",4,0,0
"China","01-25-2020",1399,42,39
"France","01-25-2020",3,0,0
"Hong Kong","01-25-2020",5,0,0
"Japan","01-25-2020",2,0,0
"Macau","01-25-2020",2,0,0
"Malaysia","01-25-2020",3,0,0
"Nepal","01-25-2020",1,0,0
"Singapore","01-25-2020",3,0,0
"South Korea","01-25-2020",2,0,0
"Taiwan","01-25-2020",3,0,0
"Thailand","01-25-2020",7,0,0
"US","01-25-2020",2,0,0
"Vietnam","01-25-2020",2,0,0
"Australia","01-26-2020",4,0,0
"Canada","01-26-2020",1,0,0
"China","01-26-2020",2062,56,49
"France","01-26-2020",3,0,0
"Hong Kong","01-26-2020",8,0,0
"Japan","01-26-2020",4,0,1
"Macau","01-26-2020",5,0,0
"Malaysia","01-26-2020",4,0,0
"Nepal","01-26-2020",1,0,0
"Singapore","01-26-2020",4,0,0
"South Korea","01-26-2020",3,0,0
"Taiwan","01-26-2020",4,0,0
"Thailand","01-26-2020",8,0,2
"US","01-26-2020",5,0,0
"Vietnam","01-26-2020",2,0,0
"Australia","01-27-2020",5,0,0
"Cambodia","01-27-2020",1,0,0
"Canada","01-27-2020",1,0,0
"China","01-27-2020",2863,82,58
"France","01-27-2020",3,0,0
"Hong Kong","01-27-2020",8,0,0
"Ivory Coast","01-27-2020",1,0,0
"Japan","01-27-2020",4,0,1
"Macau","01-27-2020",6,0,0
"Malaysia","01-27-2020",4,0,0
"Nepal","01-27-2020",1,0,0
"Singapore","01-27-2020",5,0,0
"South Korea","01-27-2020",4,0,0
"Sri Lanka","01-27-2020",1,0,0
"Taiwan","01-27-2020",5,0,0
"Thailand","01-27-2020",8,0,2
"US","01-27-2020",5,0,0
"Vietnam","01-27-2020",2,0,0
"Australia","01-28-2020",5,0,0
"Cambodia","01-28-2020",1,0,0
"Canada","01-28-2020",2,0,0
"China","01-28-2020",5494,131,101
"France","01-28-2020",4,0,0
"Germany","01-28-2020",4,0,0
"Hong Kong","01-28-2020",8,0,0
"Japan","01-28-2020",7,0,1
"Macau","01-28-2020",7,0,0
"Malaysia","01-28-2020",4,0,0
"Nepal","01-28-2020",1,0,0
"Singapore","01-28-2020",7,0,0
"South Korea","01-28-2020",4,0,0
"Sri Lanka","01-28-2020",1,0,0
"Taiwan","01-28-2020",8,0,0
"Thailand","01-28-2020",14,0,5
"US","01-28-2020",5,0,0
"Vietnam","01-28-2020",2,0,0
"Australia","01-29-2020",5,0,0
"Cambodia","01-29-2020",1,0,0
"Canada","01-29-2020",2,0,0
"China","01-29-2020",6070,133,120
"Finland","01-29-2020",1,0,0
"France","01-29-2020",5,0,0
"Germany","01-29-2020",4,0,0
"Hong Kong","01-29-2020",10,0,0
"Japan","01-29-2020",7,0,1
"Macau","01-29-2020",7,0,0
"Malaysia","01-29-2020",7,0,0
"Nepal","01-29-2020",1,0,0
"Singapore","01-29-2020",7,0,0
"South Korea","01-29-2020",4,0,0
"Sri Lanka","01-29-2020",1,0,0
"Taiwan","01-29-2020",8,0,0
"Thailand","01-29-2020",14,0,5
"United Arab Emirates","01-29-2020",4,0,0
"US","01-29-2020",5,0,0
"Vietnam","01-29-2020",2,0,0
"Australia","01-30-2020",9,0,2
"Cambodia","01-30-2020",1,0,0
"Canada","01-30-2020",3,0,0
"China","01-30-2020",8124,171,135
"Finland","01-30-2020",1,0,0
"France","01-30-2020",5,0,0
"Germany","01-30-2020",4,0,0
"Hong Kong","01-30-2020",10,0,0
"India","01-30-2020",1,0,0
